drug_name,drug_type,dosage_form,active_ingredient,indication,description,restriction,precautions,source
Iron sucrose,,sterile sol,,,"หมวดยา: Nutrition and blood | หมวดยา: Whole blood, blood products and drugs used in some blood disorders | หมวดยา: Drugs used in hypoplastic, haemolytic and renal anemias | ED: ค",ใช้สำหรับรักษา iron deficiency anemia ในผู้ป่วย chronic kidney disease ที่ได้รับการล้างไตร่วมกับการให้ epoetin therapy,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
"Antithymocyte immunoglobulin, rabbit",,"sterile pwdr, sterile sol",,,"หมวดยา: Nutrition and blood | หมวดยา: Whole blood, blood products and drugs used in some blood disorders | หมวดยา: Drugs used in hypoplastic, haemolytic and renal anemias | ชื่อพ้อง: ATG | ED: จ(2) | หมายเหตุ: จัดเป็นบัญชี ง เมื่อใช้กรณีปลูกถ่ายไต ดูข้อ 8.2 Drugs affecting the immune response",ใช้สำหรับ severe aplastic anemia โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Deferiprone,,tab (เฉพาะ 500 mg),,,"หมวดยา: Nutrition and blood | หมวดยา: Whole blood, blood products and drugs used in some blood disorders | หมวดยา: Drugs used in hypoplastic, haemolytic and renal anemias | ED: ง",ใช้สำหรับรักษาภาวะธาตุเหล็กเกินเรื้อรัง เนื่องจากการรับเลือดในผู้ป่วยธาลัสซีเมียที่มีอายุตั้งแต่ 6 ปีขึ้นไป,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Epoetin alfa,,"sterile pwdr/ sterile sol (เฉพาะ 1000, 2000, 3000, 4000, 5000 IU)",,,"หมวดยา: Nutrition and blood | หมวดยา: Whole blood, blood products and drugs used in some blood disorders | หมวดยา: Drugs used in hypoplastic, haemolytic and renal anemias | ชื่อพ้อง: epoetin alpha | ED: จ(2)",ใช้สำหรับภาวะเลือดจางจากโรคไตเรื้อรังที่ไม่พบสาเหตุอื่นที่รักษาได้ โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Epoetin beta,,"sterile sol (เฉพาะ 2000, 3000, 5000 IU)",,,"หมวดยา: Nutrition and blood | หมวดยา: Whole blood, blood products and drugs used in some blood disorders | หมวดยา: Drugs used in hypoplastic, haemolytic and renal anemias | ED: จ(2)",ใช้สำหรับภาวะเลือดจางจากโรคไตเรื้อรังที่ไม่พบสาเหตุอื่นที่รักษาได้ โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Filgrastim,,sterile sol,,,"หมวดยา: Nutrition and blood | หมวดยา: Whole blood, blood products and drugs used in some blood disorders | หมวดยา: Drugs used in bone marrow transplantation | ED: ง | หมายเหตุ: 1.  ไม่แนะนำให้ใช้ยากลุ่ม Granulocyte-Colony Stimulating Factors (G-CSF) ในกรณีที่ผู้ป่วยได้รับเคมีบำบัดโดยไม่ได้หวังผลการรักษาเพื่อหายขาด  สำหรับ palliative chemotherapy แนะนำให้ลดขนาดยาเคมีบำบัดลงตามมาตรฐาน
2.  Febrile neutropenia หมายถึง ภาวะที่ผู้ป่วยมีไข้ร่วมกับนิวโทรฟิลในเลือดต่ำ โดย
ไข้ คือ   1) ภาวะที่อุณหภูมิกายของผู้ป่วยซึ่งวัดทางปาก ณ เวลาใดๆ มากกว่าหรือเท่ากับ 38.3°C หรือ 
                  2) ภาวะที่อุณหภูมิกายซึ่งวัดทางปากมากกว่าหรือเท่ากับ 38.0°C นานติดต่อกันเกิน 1 ชั่วโมง 
นิวโทรฟิลในเลือดต่ำ คือ 1) จำนวนนิวโทรฟิลในเลือด (absolute neutrophil count) น้อยกว่า 
                                                        0.5 x 109/L หรือ 
                                                  2) จำนวนนิวโทรฟิลในเลือดน้อยกว่า 1.0 x 109/L ซึ่งคาดว่าจะลดลง
   เหลือน้อยกว่าหรือเท่ากับ  0.5 x 109/L ภายใน 48 ชั่วโมง","1. ใช้สำหรับปลูกถ่ายไขกระดูกหรือเซลล์ต้นกำเนิดเม็ดเลือด เพื่อเคลื่อนย้าย progenitor cell จากไขกระดูกออกมาในเลือดของผู้ให้หรือผู้ป่วย เพื่อนำไปใช้ทั้งใน allogeneic และ autologous transplantation
2. ใช้รักษา febrile neutropenia ที่เกิดจากยาเคมีบำบัด ให้พิจารณาในผู้ป่วยที่ต้องเข้ารับการรักษาในโรงพยาบาลร่วมกับการให้ยาต้านเชื้อจุลชีพในผู้ป่วยความเสี่ยงสูง กล่าวคือมีข้อใดข้อหนึ่งดังต่อไปนี้
2.1  Profound neutropenia ซึ่งมี absolute neutrophil count น้อยกว่า 100 /mm3
2.2  มีปอดอักเสบชนิด bacterial pneumonia หรือ lobar pneumonia หรือ มีภาวะ septicemia 
3. ใช้ป้องกัน febrile neutropenia แบบปฐมภูมิ (primary prophylaxis) ในกรณีดังต่อไปนี้
3.1 ผู้ป่วยที่จะได้รับยาเคมีบำบัดด้วยสูตรที่มีความเสี่ยงสูงต่อการเกิด febrile neutropenia มากกว่าร้อยละ 20
3.2 ผู้ป่วยที่มีความเสี่ยงต่อการเกิด febrile neutropenia ร้อยละ 10 - 20 ร่วมกับการประเมินปัจจัยเสี่ยงของผู้ป่วย กล่าวคือ มีข้อใดข้อหนึ่งดังต่อไปนี้
• อายุมากกว่า 65 ปี 
• มี performance status ที่ไม่ดี (Eastern Co-operative Oncology Group (ECOG) performance status  มากกว่าหรือเท่ากับ 2)
• มีภาวะ neutropenia (absolute neutrophil count < 1,500/mm3) หรือมีโรคแทรกซ้อนในไขกระดูกที่เกิดจากโรคมะเร็งดังกล่าว
4. ใช้ป้องกัน febrile neutropenia แบบทุติยภูมิ (Secondary prophylaxis) ในผู้ป่วยที่เคยเกิด febrile neutropenia จากการรับยาเคมีบำบัดในครั้งก่อน และเป็นผู้ป่วยที่มีเป้าหมายการรักษาเพื่อหายขาด (curative aim)",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Lenograstim,,sterile pwdr,,,"หมวดยา: Nutrition and blood | หมวดยา: Whole blood, blood products and drugs used in some blood disorders | หมวดยา: Drugs used in bone marrow transplantation | ED: ง",เช่นเดียวกับ filgrastim,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Glucose with/without sodium chloride,,sterile sol,,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Intermittent peritoneal dialysis,,sterile sol,,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Potassium acetate,,sterile sol (hosp),,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Potassium chloride,,"syr (hosp), elixir (hosp), compressed tab, EC tab, sterile sol",,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ก,,"1. ควรรับประทานยา potassium chloride หลังอาหารทันทีในกรณียาเม็ดควรดื่มน้ำอย่างน้อย 180 มิลลิลิตร และไม่ควรนอนราบอย่างน้อยครึ่งชั่วโมงหลังจากรับประทานยา 
2. ห้ามใช้ยา potassium chloride ชนิด elixir กับผู้ป่วยเด็กอายุต่ำกว่า 2 ขวบ เนื่องจากมีแอลกอฮอล์เป็นส่วนประกอบ",สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Potassium citrate,,"oral sol (hosp), dry pwdr for oral sol (hosp)",,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium acetate,,sterile sol (hosp),,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium bicarbonate,,"tab, sterile sol",,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium chloride,,"tab (เฉพาะ 300 mg), sterile sol",,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Sodium lactate intravenous  infusion compound,,sterile sol,,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ชื่อพ้อง: Ringer-Lactate solution for  injection ; Hartmann’s solution for injection | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Water for injection,,sterile sol,,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Calcium polystyrene sulfonate,,oral pwdr,,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
"Continuous ambulatory 
peritoneal dialysis",,"basic bag sol, double bag sol",,,หมวดยา: Nutrition and blood | หมวดยา: Fluids and electrolytes | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Folic acid,,tab (เฉพาะ 400 mcg และ 5 mg),,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Multivitamins,,syr,"มีวิตามินอย่างน้อย 8 ชนิดที่ให้ปริมาณยาต่อวันดังนี้
- Vitamin A  1,300  -  2,000 IU 
- Vitamin D  200 - 1,000 IU
- Vitamin B1        ≥ 0.5 mg
- Vitamin B2        ≥ 0.5 mg
- Vitamin B6        ≥ 0.5 mg 
- Vitamin B12      ≥ 0.9 mcg
- Niacinamide      ≥ 6 mg
- Vitamin C          ≥ 40 mg",,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ก | หมายเหตุ: มีปริมาณใกล้เคียงกับปริมาณสารอาหารที่ควรได้รับประจำวันในเด็กอายุ 1 - 3 ขวบ,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Multivitamins,,drop,"มีวิตามินอย่างน้อย 8 ชนิดที่ให้ปริมาณยาต่อวันดังนี้
- Vitamin A  1,300  -  2,000 IU 
- Vitamin D  200 - 1,000 IU
- Vitamin B1     ≥  0.3 mg
- Vitamin B2     ≥ 0.4 mg
- Vitamin B6     ≥ 0.3 mg 
- Vitamin B12   ≥ 0.5 mcg
- Niacinamide ≥ 4 mg
- Vitamin C      ≥ 35 mg",,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ก | หมายเหตุ: มีปริมาณใกล้เคียงกับปริมาณสารอาหารที่ควรได้รับประจำวันในทารกอายุ 6 - 11 เดือน,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Multivitamins,,"cap, tab","มีวิตามินอย่างน้อย 9 ชนิดที่ให้ปริมาณยาต่อวันดังนี้
- Vitamin A  2,000  -  5,600 IU 
- Vitamin D  200 - 2,000 IU
- Vitamin B1        ≥ 0.9 mg
- Vitamin B2        ≥ 0.9 mg
- Vitamin B6        ≥ 1.0 mg 
- Vitamin B12      ≥ 1.8 mcg
- Niacinamide    ≥ 12 mg
- Folic acid         300-1000 mcg
- Vitamin C          ≥ 45 mg",,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ก | หมายเหตุ: มีปริมาณใกล้เคียงกับปริมาณสารอาหารที่ควรได้รับประจำวันในเด็กอายุ 9 - 12 ปี และผู้ใหญ่,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin A,,"cap, tab (เฉพาะ 25,000-50,000 IU ต่อ 1 cap/tab)",,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin B1,,"tab (เฉพาะ 10-100 mg), sterile sol (เฉพาะ 100 mg/ml)",,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ชื่อพ้อง: Thiamine as hydrochloride or mononitrate | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin B2,,tab (เฉพาะไม่ต่ำกว่า 10 mg),,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin B6,,"tab (เฉพาะ 10-100 mg), sterile sol (เฉพาะ 100 mg/ml)",,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ชื่อพ้อง: Pyridoxine hydrochloride | ED: ก,,การรับประทานวิตามิน B6 ขนาดตั้งแต่ 200 มิลลิกรัมต่อวัน ขึ้นไปเป็นเวลานาน มีความสัมพันธ์กับการเกิด neuropathy ได้,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin B12,,"tab (เฉพาะไม่ต่ำกว่า 100 mcg), 
sterile sol (เฉพาะ 1000 mcg/ml)",,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ชื่อพ้อง: Cyanocobalamin หรือ Hydroxocobalamin | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin C,,"tab (เฉพาะ 50, 100 mg)",,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin D2,,cap,,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ชื่อพ้อง: Ergocalciferol | ED: ก,เป็น first -line drug ในผู้ป่วยที่มีภาวะขาดวิตามิน D,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin K1,,sterile sol,,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ชื่อพ้อง: phytomenadione | ED: ก,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin B complex,,"cap, tab","มีวิตามินอย่างน้อย 8 ชนิดที่ให้ปริมาณยาต่อวันดังนี้
- Vitamin B1       ≥ 0.9 mg
- Vitamin B2      ≥ 0.9 mg
- Vitamin B6      ≥ 1.0 mg 
- Vitamin B12    ≥ 1.8 mcg
- Folic acid        ≥ 300 mcg
- Niacinamide    ≥ 12 mg
- Pantothenic acid  ≥ 4 mg  
- Biotin              ≥  20 mcg",,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ก | หมายเหตุ: มีปริมาณใกล้เคียงกับปริมาณสารอาหารที่ควรได้รับประจำวันในเด็กอายุ 9 - 12 ปี และผู้ใหญ่,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin C,,sterile sol,,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ข,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin B complex,,sterile sol,"ประกอบด้วยวิตามินอย่างน้อย 4 ชนิด ที่ให้ปริมาณยาต่อวัน ดังนี้
 - Vitamin B1     ≥  0.9  mg
 - Vitamin B2     ≥  0.9  mg
 - Vitamin B6     ≥  1.0  mg
 - Niacinamide   ≥  12 mg",,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ข | หมายเหตุ: มีปริมาณใกล้เคียงกับปริมาณสารอาหารที่ควรได้รับประจำวันในเด็กอายุ 9 - 12 ปี และผู้ใหญ่,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Alfacalcidol,,"cap, tab",,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ชื่อพ้อง: 1 alpha-hydroxyvitamin D3 | ED: ค,"1. ใช้กับผู้ป่วย Kidney disease stage 5  (หรือ end stage kidney disease) ที่มีระดับแคลเซียมในเลือดต่ำ ร่วมกับภาวะ hyperparathyroidism
2. ใช้กับผู้ป่วยที่มีภาวะพร่องฮอร์โมนพาราไทรอยด์อย่างรุนแรงและฉับพลัน",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Vitamin E,,"emulsion (hosp), syr",,,หมวดยา: Nutrition and blood | หมวดยา: Vitamins | รายละเอียดกลุ่ม 2: Multivitamins ในบัญชียาหลักแห่งชาติ มีวิตามินเป็นส่วนประกอบเท่านั้น การผสมแร่ธาตุ (mineral) หรือตัวยาสำคัญอื่นๆ ไม่ถือเป็นยาในบัญชียาหลักแห่งชาติ | ED: ค | หมายเหตุ: ตำรับยา water-miscible vitamin E (มี emulsifier ในสูตรตำรับ เช่น polysorbate 80 เป็นต้น และใช้เป็นน้ำกระสายยา),"1. ใช้กับทารกแรกเกิดที่มีน้ำหนักตัวน้อยหรือเกิดก่อนกำหนดเท่านั้น
2. ใช้ป้องกันและรักษาภาวะขาดวิตามินอีในทารก และเด็กที่มีปัญหาการย่อยไขมันและ/หรือการดูดซึมไขมันบกพร่องเท่านั้น",,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Amino acid solution for infants,,sterile sol,"มีกรดอะมิโนจำเป็นทั้ง 9 ชนิด คือ
isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, valine, histidine  
และอย่างน้อยต้องมี arginine, cysteine, tyrosine และ taurine โดยด้องไม่มี sugar alcohol ในสูตร",,หมวดยา: Nutrition and blood | หมวดยา: Intravenous nutrition | รายละเอียดกลุ่ม 2: การให้อาหารทางหลอดเลือดดำมีความเสี่ยงต่อการติดเชื้อ | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Amino acid solution ชนิด high branched chain amino acid,,sterile sol,มีสัดส่วนของ branch chain amino acid 35-45% ของ total amino acid,,หมวดยา: Nutrition and blood | หมวดยา: Intravenous nutrition | รายละเอียดกลุ่ม 2: การให้อาหารทางหลอดเลือดดำมีความเสี่ยงต่อการติดเชื้อ | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Amino acid solution ชนิด high essential amino acid,,sterile sol,มีสัดส่วนของ essential amino acid  > 60% ของ  total amino acid,,หมวดยา: Nutrition and blood | หมวดยา: Intravenous nutrition | รายละเอียดกลุ่ม 2: การให้อาหารทางหลอดเลือดดำมีความเสี่ยงต่อการติดเชื้อ | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Amino acids with/without minerals,,sterile sol,,,หมวดยา: Nutrition and blood | หมวดยา: Intravenous nutrition | รายละเอียดกลุ่ม 2: การให้อาหารทางหลอดเลือดดำมีความเสี่ยงต่อการติดเชื้อ | ED: ค,,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Complete water-soluble and fat soluble vitamins preparation,,"preparation for intravenous use (sterile pwdr,sterile sol,sterile emulsion)","Complete water-soluble and fat soluble vitamins preparation ที่ได้จากการผสม ตำรับที่มี  Fat soluble vitamins 4 ชนิด คือ A, D, E, K กับ ตำรับที่มี water soluble vitamins 9 ชนิด คือ B1, B2, B6 , B12, niacinamide, folic acid , pantothenic acid , biotin และ Vitamin C",,หมวดยา: Nutrition and blood | หมวดยา: Intravenous nutrition | รายละเอียดกลุ่ม 2: การให้อาหารทางหลอดเลือดดำมีความเสี่ยงต่อการติดเชื้อ | ED: ค,ใช้กับผู้ป่วยที่ได้รับอาหารทางหลอดเลือดดำ (parenteral nutrition) และต้องการทั้ง water-soluble และ fat-soluble vitamins,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
Complete water-soluble vitamin preparation,,preparation for intravenous use (sterile pwdr),"ที่ประกอบด้วย water soluble vitamins 9 ชนิด คือ B1, B2, B6, B12, niacinamide, folic acid, pantothenic acid, biotin และ vitamin C",,หมวดยา: Nutrition and blood | หมวดยา: Intravenous nutrition | รายละเอียดกลุ่ม 2: การให้อาหารทางหลอดเลือดดำมีความเสี่ยงต่อการติดเชื้อ | ED: ค,ใช้กับผู้ป่วยที่ได้รับอาหารทางหลอดเลือดดำ (parenteral nutrition) และต้องการเฉพาะ water soluble vitamins หรือมีข้อห้ามใช้สำหรับ fat-soluble vitamins,,สำนักงานประสานการพัฒนาบัญชียาหลักแห่งชาติ — ปรับปรุงเมื่อวันที่ 23 พฤษภาคม 2555
